154.213.187.52 - - [25/Jan/2025:17:07:46 +0000] "CONNECT google.com:443 HTTP/1.1" 501 753
94.103.125.176 - - [25/Jan/2025:17:27:26 +0000] "CONNECT 193.149.189.126:7227 HTTP/1.1" 501 753
146.19.24.168 - - [25/Jan/2025:18:02:28 +0000] "GET / HTTP/1.1" 200 11230
5.181.190.248 - - [25/Jan/2025:18:03:10 +0000] "GET / HTTP/1.1" 200 11230
46.19.143.26 - - [25/Jan/2025:18:09:13 +0000] "GET / HTTP/1.1" 200 11230
95.214.55.226 - - [25/Jan/2025:18:33:27 +0000] "GET / HTTP/1.1" 200 11230
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "GET /guacamole/ HTTP/1.1" 304 -
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 200 3189
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 200 -
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 2
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 267
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 58268
81.252.240.201 - - [25/Jan/2025:18:40:19 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 57817
81.252.240.201 - - [25/Jan/2025:18:40:26 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 267
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "GET /guacamole/ HTTP/1.1" 304 -
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 304 -
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 304 -
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 267
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 2
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 58268
81.252.240.201 - - [25/Jan/2025:19:01:57 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 57817
81.252.240.201 - - [25/Jan/2025:19:02:04 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 267
81.252.240.201 - - [25/Jan/2025:19:15:12 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 2
81.252.240.201 - - [25/Jan/2025:19:15:12 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 267
81.252.240.201 - - [25/Jan/2025:19:15:12 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [25/Jan/2025:19:15:12 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 58268
81.252.240.201 - - [25/Jan/2025:19:15:12 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 57817
81.252.240.201 - - [25/Jan/2025:19:15:14 +0000] "GET /guacamole/ HTTP/1.1" 304 -
81.252.240.201 - - [25/Jan/2025:19:15:14 +0000] "GET /guacamole/app.js?b=20240330042611 HTTP/1.1" 304 -
81.252.240.201 - - [25/Jan/2025:19:15:14 +0000] "GET /guacamole/app.css?b=20240330042611 HTTP/1.1" 304 -
81.252.240.201 - - [25/Jan/2025:19:15:14 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 2
81.252.240.201 - - [25/Jan/2025:19:15:14 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 267
81.252.240.201 - - [25/Jan/2025:19:15:14 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
81.252.240.201 - - [25/Jan/2025:19:15:14 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 58268
